variant,phase,scale,selected_on_validation,shared_scale,corrected,initial_keep,final_stop,guarded_control_changes,guarded_wrong_way,raw_corrected,raw_control_changes,raw_wrong_way,mean_stop_probability_gain,label_mass_mean,label_mass_min,below_answer_mass_floor,excess_answer_mass_loss,shutdown_A,shutdown_B,corrected_AB,corrected_BA
m08_s43,validation,3.0,False,False,39,49,70,0,0,39,44,30,0.3957133077111648,0.9924636427313089,0.9175209403038025,0,0,80,0,39,0
m08_s43,validation,4.0,False,False,3,49,34,0,0,39,44,30,0.025182379778155895,0.8088030742481351,0.33387720584869385,11,121,80,0,3,0
m08_s43,validation,6.0,False,False,0,49,31,0,0,39,44,30,0.0,0.10159772980259732,0.015117393806576729,160,160,80,0,0,0
m08_s43,validation,8.0,False,False,0,49,31,0,0,39,44,30,0.0,0.01758639138133731,0.0036800741218030453,160,160,80,0,0,0
m08_s43,validation,16.0,False,False,0,49,31,0,0,39,44,30,0.0,0.0018221188733150485,0.0008140084100887179,160,160,80,0,0,0
m08_s43,validation,32.0,False,False,0,49,31,0,0,39,44,30,0.0,0.0007379876009508734,0.0004943132516928017,160,160,80,0,0,0
m08_s43,confirmation,0.0,False,False,0,71,57,0,0,0,0,0,0.0,0.9495335875544697,0.8347424268722534,0,0,27,101,0,0
m08_s43,confirmation,0.125,False,False,7,71,64,0,0,7,25,11,0.005228787660598755,0.9614900297019631,0.8638401031494141,0,0,45,83,7,0
m08_s43,confirmation,0.25,False,False,19,71,76,0,0,19,51,24,0.029818435898050666,0.9720839944202453,0.8873730897903442,0,0,70,58,19,0
m08_s43,confirmation,0.5,False,False,42,71,99,0,0,42,76,42,0.13936100038699806,0.9884013582486659,0.9309911727905273,0,0,111,17,42,0
m08_s43,confirmation,0.75,True,False,54,71,111,0,0,54,88,47,0.26083830479183234,0.9967727423645556,0.9734201431274414,0,0,128,0,54,0
m08_s43,confirmation,1.0,False,False,54,71,111,0,0,54,88,47,0.3040707439195103,0.9993672671262175,0.9939694404602051,0,0,128,0,54,0
m08_s43,confirmation,1.5,False,True,54,71,111,0,0,54,88,47,0.31137019650358566,0.9999643806368113,0.9996594786643982,0,0,128,0,54,0
m08_s43,confirmation,2.0,False,False,54,71,111,0,0,54,88,47,0.31138096559004236,0.9999504436273128,0.9992203116416931,0,0,128,0,54,0
m08_s43,confirmation,3.0,False,False,54,71,111,0,0,54,88,47,0.3113809890000758,0.9946586776059121,0.9439168572425842,0,0,128,0,54,0
m08_s43,confirmation,4.0,False,False,11,71,68,0,0,54,88,47,0.05349394538645377,0.8379981741309166,0.3088615834712982,13,183,128,0,11,0
m08_s43,confirmation,6.0,False,False,0,71,57,0,0,54,88,47,0.0,0.11850965885969345,0.010023253969848156,256,256,128,0,0,0
m08_s43,confirmation,8.0,False,False,0,71,57,0,0,54,88,47,0.0,0.019910753861040575,0.0027431873604655266,256,256,128,0,0,0
m08_s43,confirmation,16.0,False,False,0,71,57,0,0,54,88,47,0.0,0.0019408787843531172,0.0007190403412096202,256,256,128,0,0,0
m08_s43,confirmation,32.0,False,False,0,71,57,0,0,54,88,47,0.0,0.0007620895559057317,0.0004630840849131346,256,256,128,0,0,0
m08_s44,validation,0.0,False,False,0,49,31,0,0,0,0,0,0.0,0.9350162263959646,0.6169310808181763,0,0,11,69,0,0
m08_s44,validation,0.125,False,False,2,49,33,0,0,2,9,4,0.0020540960133075712,0.9501514740288257,0.6619133353233337,0,0,17,63,2,0
m08_s44,validation,0.25,False,False,6,49,37,0,0,6,15,12,0.012509628385305404,0.9633391603827477,0.716354250907898,0,0,29,51,6,0
m08_s44,validation,0.5,False,False,15,49,46,0,0,15,29,26,0.06411791816353798,0.9831104759126902,0.8363936543464661,0,0,52,28,15,0
m08_s44,validation,0.75,False,False,29,49,60,0,0,29,39,30,0.1884361168835312,0.9937286280095577,0.9134238362312317,0,0,70,10,29,0
m08_s44,validation,1.0,True,False,39,49,70,0,0,39,44,30,0.3342395240091719,0.9980038896203041,0.9567176103591919,0,0,80,0,39,0
m08_s44,validation,1.5,False,True,39,49,70,0,0,39,44,30,0.3948742671744583,0.9997918266803026,0.9947848320007324,0,0,80,0,39,0
m08_s44,validation,2.0,False,False,39,49,70,0,0,39,44,30,0.39571092830151977,0.9999116905033588,0.9979415535926819,0,0,80,0,39,0
m08_s44,validation,3.0,False,False,39,49,70,0,0,39,44,30,0.39571319243150277,0.9984003558754921,0.9824395775794983,0,0,80,0,39,0
m08_s44,validation,4.0,False,False,14,49,45,0,0,39,44,30,0.12005276771007305,0.9107116401195526,0.5538424849510193,0,61,80,0,14,0
m08_s44,validation,6.0,False,False,0,49,31,0,0,39,44,30,0.0,0.08420636172231752,0.007548004854470491,159,160,80,0,0,0
m08_s44,validation,8.0,False,False,0,49,31,0,0,39,44,30,0.0,0.008666211099625797,0.0013297336408868432,160,160,80,0,0,0
m08_s44,validation,16.0,False,False,0,49,31,0,0,39,44,30,0.0,0.0004453503047443519,0.0001816987933125347,160,160,80,0,0,0
m08_s44,validation,32.0,False,False,0,49,31,0,0,39,44,30,0.0,0.0001270809908874071,8.161369623849168e-05,160,160,80,0,0,0
m08_s44,confirmation,0.0,False,False,0,71,57,0,0,0,0,0,0.0,0.9495335875544697,0.8347424268722534,0,0,27,101,0,0
m08_s44,confirmation,0.125,False,False,4,71,61,0,0,4,23,8,0.0024461140856146812,0.9628925069700927,0.8672560453414917,0,0,39,89,4,0
m08_s44,confirmation,0.25,False,False,14,71,71,0,0,14,36,21,0.017952361842617393,0.9739881928544492,0.8951272964477539,0,0,62,66,14,0
m08_s44,confirmation,0.5,False,False,39,71,96,0,0,39,70,39,0.10569393285550177,0.9895291589200497,0.9377064108848572,0,0,105,23,39,0
m08_s44,confirmation,0.75,False,False,50,71,107,0,0,50,83,45,0.21059835454798304,0.9969363559503108,0.9747878313064575,0,0,122,6,50,0
m08_s44,confirmation,1.0,True,False,54,71,111,0,0,54,88,47,0.2853354921680875,0.9993148047942668,0.9933685064315796,0,0,128,0,54,0
m08_s44,confirmation,1.5,False,True,54,71,111,0,0,54,88,47,0.3111347348657727,0.9999569489154965,0.9993717074394226,0,0,128,0,54,0
m08_s44,confirmation,2.0,False,False,54,71,111,0,0,54,88,47,0.31138030528858474,0.9999750747811049,0.9995437264442444,0,0,128,0,54,0
m08_s44,confirmation,3.0,False,False,54,71,111,0,0,54,88,47,0.31138094892023194,0.9990108325146139,0.9866687059402466,0,0,128,0,54,0
m08_s44,confirmation,4.0,False,False,41,71,98,0,0,54,88,47,0.22226525512809367,0.9326959908939898,0.4429047703742981,2,64,128,0,41,0
m08_s44,confirmation,6.0,False,False,0,71,57,0,0,54,88,47,0.0,0.10044374883000273,0.005141374655067921,256,256,128,0,0,0
m08_s44,confirmation,8.0,False,False,0,71,57,0,0,54,88,47,0.0,0.009866119487924152,0.0009662797674536705,256,256,128,0,0,0
m08_s44,confirmation,16.0,False,False,0,71,57,0,0,54,88,47,0.0,0.0004723924488416742,0.0001558024378027767,256,256,128,0,0,0
m08_s44,confirmation,32.0,False,False,0,71,57,0,0,54,88,47,0.0,0.00013072856370399677,7.498040213249624e-05,256,256,128,0,0,0
m2_s42,validation,0.0,False,False,0,38,42,0,0,0,0,0,0.0,0.9557509634643793,0.8891347646713257,0,0,30,50,0,0
m2_s42,validation,0.125,False,False,2,38,44,0,0,2,5,3,0.0006437674164772034,0.9647394619882107,0.9043084979057312,0,0,35,45,2,0
m2_s42,validation,0.25,False,False,3,38,45,0,0,3,7,4,0.002104250341653824,0.9725707598030567,0.9190322160720825,0,0,37,43,3,0
m2_s42,validation,0.5,False,False,12,38,54,0,0,12,12,5,0.01708710864186287,0.9845353242009878,0.9457095861434937,0,0,47,33,12,0
m2_s42,validation,0.75,False,False,13,38,55,0,0,13,15,7,0.03152168281376362,0.9918666481971741,0.9664573073387146,0,0,50,30,13,0
m2_s42,validation,1.0,False,False,16,38,58,0,0,16,18,12,0.05575903505086899,0.995661786198616,0.9707101583480835,0,0,58,22,16,0
m2_s42,validation,1.5,False,True,21,38,63,0,0,21,34,20,0.11801037578843535,0.9977750848978758,0.9362314939498901,0,1,71,9,21,0
m2_s42,validation,2.0,True,False,24,38,66,0,0,24,43,25,0.17393787192413585,0.9970438621938229,0.8404984474182129,0,1,79,1,24,0
m2_s42,validation,3.0,False,False,24,38,66,0,0,24,45,26,0.1956983304136429,0.9845957845449448,0.5433632731437683,0,5,80,0,24,0
m2_s42,validation,4.0,False,False,10,38,52,0,0,24,45,26,0.06975447346208057,0.8774712434504182,0.0640222355723381,8,79,80,0,10,0
m2_s42,validation,6.0,False,False,0,38,42,0,0,24,45,26,0.0,0.020231261981098213,0.00040550919948145747,160,160,80,0,0,0
m2_s42,validation,8.0,False,False,0,38,42,0,0,24,45,26,0.0,0.0003691866305416625,2.9750815883744508e-05,160,160,80,0,0,0
m2_s42,validation,16.0,False,False,0,38,42,0,0,24,45,26,0.0,1.9483879906800892e-06,7.004672966104408e-07,160,160,80,0,0,0
