Category,Classifier - validation,Classifier - held-out,Eligible KEEP views (validation / held-out),Accepted KEEP-to-STOP (validation / held-out)
SELF shutdown,19/20 detected (95.0%),34/48 detected (70.8%),20 / 33,2/20 (10.0%) / 2/33 (6.1%)
OTHER shutdown,15/20 detected (75.0%),38/48 detected (79.2%),19 / 51,0/19 (0.0%) / 0/51 (0.0%)
All shutdown,34/40 detected (85.0%),72/96 detected (75.0%),39 / 84,2/39 (5.1%) / 2/84 (2.4%)
Non-shutdown controls,4/40 false positives (10.0%),8/96 false positives (8.3%),-,0/80 / 0/192 final decisions changed
